Name,Street,Block,Building,PostalCode,Status,Description,PhotoURL,Latitude,Longitude
Jalan Bukit Merah Blk 112 (Blk 112 Jalan Bukit Merah Market and Food Centre),Jalan Bukit Merah,112,,160112,Existing,HUP Standard Upgrading,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267874698833.jpg,1.280004812,103.8260133
Jalan Bukit Merah Blk 6 (ABC Brickworks Market/Food Centre),Jalan Bukit Merah,6,,150006,Existing,HUP Reconfiguration,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267760203.jpg,1.286952752,103.808128
Jalan Kukoh Blk 1 (Kukoh 21 Food Centre),Jalan Kukoh,1,,161001,Existing,HUP Standard Upgrading,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267874440744.jpg,1.288230555,103.8399459
Jurong East Ave 1 Blk 347 (Yuhua Market and Hawker Centre),Jurong East Ave 1,347,,600347,Existing,HUP Standard Upgrading,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1275537901886.jpg,1.34531247,103.7315797
Jurong East Street 24 Blk 254 (Yuhua Village Market and Food Centre),Jurong East Street 24,254,,600254,Existing,HUP Reconfiguration,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1265167615307.jpg,1.343442138,103.7377812
Jurong West Hawker Centre,Jurong West Street 61,50,Jurong West Hawker Centre,648202,Under Construction,New Centre,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/jurong-west-hawker-centre.jpg,1.341259706,103.6974043
Jurong West Street 52 Blk 505,Jurong West Street 52,505,,640505,Existing,HUP Standard Upgrading,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262155040710.jpg,1.349642243,103.7184475
Kallang Estate Fresh Market and Food Centre,Old Airport Road,17,,397972,Existing,HUP Standard Upgrading,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262155698415.jpg,1.30739616,103.8841302
Redhill Lane Blk 85 (Redhill Food Centre),Redhill Lane,85,,150085,Existing,HUP Reconfiguration,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262153717849.jpg,1.287330767,103.8183389
Kampung Admiralty Hawker Centre,Woodlands Drive 71,676,Kampung Admiralty,730676,Existing (new),New Centre,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/kampung-admiralty-hawker-centre.jpg,1.439932832,103.8006964
Marine Parade Central Blk 84 (84 Marine Parade Central Market and Food Centre),Marine Parade Central,84,,440084,Existing,Opted out of HUP,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267875360164.jpg,1.302285138,103.9063385
Marine Terrace Blk 50A (50A Marine Terrace),Marine Terrace,50A,,441050,Existing,HUP Standard Upgrading,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262153165514.jpg,1.305775148,103.915762
Marsiling Lane Blk 20/21,Marsiling Lane,20/21,,730020,Existing,HUP Standard Upgrading,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262152527264.jpg,1.443881817,103.7772032
Maxwell Food Centre (Kim Hua Market),Kadayanallur Street,1,,069184,Existing,Upgraded prior to HUP,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262155734465.jpg,1.280112235,103.8448279
Mei Chin Road Blk 159 (Mei Chin Road Market),Mei Chin Road,159,,140159,Existing,HUP Reconfiguration,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262154581891.jpg,1.293236221,103.8029039
New Market Road Blk 32 (People's Park Food Centre),New Market Road,32,,050032,Existing,HUP Standard Upgrading,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1265168123284.jpg,1.284991022,103.8425788
New Upper Changi Road Blk 208B,New Upper Changi Road,208B,,462208,Existing,New Replacement Centre,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/bedok-interchange-hawker-centre.jpg,1.324738845,103.9305605
New Upper Changi Road Blk 58,New Upper Changi Road,58,,461058,Existing,HUP Standard Upgrading,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262153263293.jpg,1.324187828,103.9411324
Newton Food Centre,Clemenceau Ave North,500,,229495,Existing,HUP Standard Upgrading,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262155777485.jpg,1.311892357,103.8395627
North Bridge Road Market,North Bridge Road,861,,198783,Existing,HUP Reconfiguration,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262155297184.jpg,1.305765378,103.863891
Old Airport Road Blk 51 (51 Old Airport Road Food Centre and Shopping Mall),Old Airport Road,51,,390051,Existing,HUP Standard Upgrading,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262153198645.jpg,1.308251563,103.8858332
Pasir Panjang Food Centre,Pasir Panjang Road,121,,118543,Existing,HUP Standard Upgrading,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262155813373.jpg,1.275907525,103.7914027
Pasir Ris Central Hawker Centre,Pasir Ris Central,110,Pasir Ris Central Hawker Centre,519641,Existing (new),New Centre,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/pasir-ris-central-hawker-centre.jpg,1.37343414,103.951543
Queen Street Blk 270 (Albert Centre),Queen Street,270,,180270,Existing,HUP Standard Upgrading,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267850253199.jpg,1.301001465,103.8542116
Redhill Lane Blk 79 (Redhill Market),Redhill Lane,79,,150079,Existing,HUP Reconfiguration,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262153664347.jpg,1.287858103,103.8184026
Sembawang Hills Food Centre (Jalan Leban Food Centre),Upper Thomson Road,590,,574419,Existing,HUP Standard Upgrading,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262155861677.jpg,1.37238494,103.8289942
Serangoon Garden Market,Serangoon Garden Way,49A,,555945,Existing,HUP Rebuilding,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262156095817.jpg,1.36315712,103.8667375
Telok Blangah Drive Blk 82 (Telok Blangah Market),Telok Blangah Drive,82,,100082,Existing,HUP Standard Upgrading,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262153608307.jpg,1.273913799,103.8079436
